score_window,tp,fp,fn,precision,recall,f1
0.01,1,0,4,1.0,0.2,0.33333333333333337
0.03,1,0,4,1.0,0.2,0.33333333333333337
0.05,1,0,4,1.0,0.2,0.33333333333333337
0.07,1,0,4,1.0,0.2,0.33333333333333337
0.09,1,0,4,1.0,0.2,0.33333333333333337
0.11,1,0,4,1.0,0.2,0.33333333333333337
0.13,2,3,3,0.4,0.4,0.4000000000000001
0.15,2,5,3,0.2857142857142857,0.4,0.3333333333333333
0.17,2,12,3,0.14285714285714285,0.4,0.21052631578947364
0.19,4,17,1,0.19047619047619047,0.8,0.3076923076923077
0.21,4,21,1,0.16,0.8,0.26666666666666666
0.23,4,32,1,0.1111111111111111,0.8,0.19512195121951217
0.25,4,65,1,0.057971014492753624,0.8,0.1081081081081081
0.27,4,103,1,0.037383177570093455,0.8,0.07142857142857142
0.29,5,158,0,0.03067484662576687,1.0,0.05952380952380952
